668	656	655	678	673	653
667	656	657	679	675	654
671	658	656	677	673	653
668	656	659	676	675	653
667	657	657	675	674	655
668	660	658	685	675	654
669	657	659	675	678	652
671	659	655	678	675	654
666	659	657	685	674	654
667	659	657	675	673	654
666	656	655	681	674	653
668	656	659	674	672	652
666	655	654	683	673	655
667	656	659	673	674	651
665	656	655	684	672	652
667	658	655	677	672	652
664	655	655	677	672	652
668	658	656	679	671	653
666	659	658	676	674	653
667	655	658	673	673	653
665	657	656	681	672	652
666	658	657	679	672	653
667	656	658	675	669	654
668	655	658	684	672	654
665	657	657	682	674	654
662	658	658	679	674	654
666	658	657	679	674	651
668	658	653	677	674	651
665	658	657	674	674	653
665	656	656	678	672	652
668	657	655	678	674	653
669	657	656	675	672	653
667	654	659	676	675	654
667	657	658	676	675	653
663	657	656	676	671	652
669	657	657	684	670	653
665	658	658	685	672	653
669	656	659	673	675	653
667	654	654	680	675	652
664	656	655	678	672	653
665	658	657	672	675	653
663	656	656	675	673	653
668	655	655	681	672	653
668	657	654	679	671	653
668	657	657	679	673	654
668	657	658	678	673	654
668	658	657	677	674	652
668	655	658	679	673	653
667	656	660	672	674	654
667	655	656	678	675	654
666	659	657	675	675	653
667	657	657	677	674	653
667	654	660	680	673	653
665	658	657	677	672	654
668	655	653	680	671	652
666	656	658	676	674	654
665	656	659	683	672	653
668	657	656	678	673	652
666	657	658	681	675	654
666	654	655	681	673	654
664	659	656	679	674	654
668	656	653	679	671	653
664	657	656	681	674	652
667	656	654	682	674	653
669	656	656	674	674	654
666	659	659	684	671	651
666	656	657	677	674	654
664	656	653	682	671	653
664	658	658	677	672	653
665	656	657	675	676	653
666	654	659	677	677	653
664	657	657	675	674	653
665	657	656	679	674	652
666	657	657	678	672	653
669	655	661	677	675	652
669	657	659	677	675	653
667	656	656	676	674	653
665	657	654	680	675	654
667	658	653	676	675	653
670	658	658	676	673	654
665	654	657	675	675	653
665	657	658	680	673	654
668	658	656	682	674	653
667	657	656	681	676	652
667	656	656	675	674	655
667	659	660	674	676	653
665	656	657	680	674	652
668	659	658	683	674	654
667	654	655	679	676	654
667	657	660	681	673	653
